colony,origin,trait,mean_diff_RL,n_pairs,t_stat,t_pvalue,wilcox_stat,wilcox_pvalue,t_pvalue_bonf,t_pvalue_holm,t_pvalue_bh,wilcox_pvalue_bonf,wilcox_pvalue_holm,wilcox_pvalue_bh
COY03,Coyhaique,nerv03,-0.008308639434343432,99,-2.937219972475661,0.00412796855503974,1610.0,0.0038768108265383855,0.4953562266047688,0.13209499376127168,0.005565800298929986,0.46521729918460625,0.12405794644922834,0.005227160664995576
COY04,Coyhaique,nerv03,-0.020441144141025623,78,-6.189708756851423,2.71499483684579e-08,489.0,2.7709261542192983e-07,3.257993804214948e-06,1.5203971086336425e-06,5.0122981603306895e-08,3.3251113850631583e-05,1.551718646362807e-05,5.115555977020244e-07
COY05,Coyhaique,nerv03,-0.017572603319587626,97,-6.915467269384737,5.169363447978162e-10,807.0,1.645781809759126e-08,6.203236137573795e-08,3.256698972226242e-08,1.0695234719954818e-09,1.974938171710951e-06,1.003926903953067e-06,3.291563619518252e-08
COY06,Coyhaique,nerv03,0.006241195703124994,64,1.9821159582492331,0.05183230419948985,1302.0,0.044501983742038766,1.0,0.8811491713913274,0.05980650484556521,1.0,0.8900396748407753,0.05287364404994705
COY07,Coyhaique,nerv03,-0.01599053311538461,78,-4.420718146362619,3.182967384425695e-05,724.0,4.8178086338844025e-05,0.0038195608613108343,0.0015914836922128477,5.379663184944837e-05,0.005781370360661283,0.0024570824032810455,8.259100515230403e-05
COY08,Coyhaique,nerv03,-0.004624208299999989,100,-1.5845323955762893,0.11626191679563305,2062.0,0.1499396889414419,1.0,1.0,0.12568855869798168,1.0,1.0,0.1592279882563985
COY09,Coyhaique,nerv03,-0.018767450595959592,99,-7.729605928008355,9.532199892937354e-12,671.0,5.118297214955192e-10,1.1438639871524824e-09,7.053827920773642e-10,2.433753164154218e-11,6.14195665794623e-08,3.889905883365946e-08,1.3648792573213844e-09
COY10,Coyhaique,nerv03,-0.001081603125000005,96,-0.3552204099356336,0.7232119267083261,2219.0,0.6917415751809435,1.0,1.0,0.7292893378571356,1.0,1.0,0.6917415751809435
COY11,Coyhaique,nerv03,-0.007639714329999999,100,-2.8306876425442162,0.005625666841312202,1813.0,0.014430357670336015,0.6750800209574642,0.16877000523936606,0.007418461768763343,1.0,0.3896196570990724,0.018421733196173636
COY12,Coyhaique,nerv03,-0.005409925560000006,100,-1.5904361070085973,0.11492493344325619,1973.0,0.08005270894536791,1.0,1.0,0.1253726546653704,1.0,1.0,0.08894745438374212
RPR01,Ribeirão Preto,nerv03,-0.08508162162162161,74,-21.10656425570985,8.397485759482461e-33,0.0,7.892725464448336e-14,1.0076982911378953e-30,9.65710862340483e-31,1.679497151896492e-31,9.471270557338002e-12,8.60218444299103e-12,7.047885914740369e-13
RPR02,Ribeirão Preto,nerv03,-0.032825004102564094,78,-10.417196506815422,2.3277648857161873e-16,160.0,6.267265473788303e-12,2.7933178628594248e-14,2.188098992573216e-14,1.0345621714294165e-15,7.520718568545964e-10,5.703211581147356e-10,2.506906189515321e-11
RPR03,Ribeirão Preto,nerv03,-0.05474069296249999,80,-17.255244202945978,1.5992152282625659e-28,12.0,1.2578652800256862e-14,1.919058273915079e-26,1.823105360219325e-26,2.7415118198786843e-27,1.5094383360308236e-12,1.4465450720295392e-12,2.5157305600513723e-13
RPR04,Ribeirão Preto,nerv03,-0.029474274468354437,79,-10.137639871410865,6.865912719613854e-16,159.0,3.8636202102692e-12,8.239095263536625e-14,6.247980574848608e-14,2.7463650878455418e-15,4.6363442523230405e-10,3.5545305934476644e-10,1.5987393973527725e-11
RPR05,Ribeirão Preto,nerv03,-0.025006023012500007,80,-8.376144322283642,1.609582824031845e-12,299.0,2.396656008275392e-10,1.931499388838214e-10,1.2715704309851575e-10,4.598808068662414e-12,2.8759872099304703e-08,1.8454251263720517e-08,6.536334568023796e-10
RPR06,Ribeirão Preto,nerv03,-0.027938293574999995,80,-10.21136527541656,4.3074266029082293e-16,142.0,1.3753198500011347e-12,5.168911923489875e-14,3.962832474675571e-14,1.7823834218930604e-15,1.6503838200013616e-10,1.306553857501078e-10,6.347630076928314e-12
RPR07,Ribeirão Preto,nerv03,-0.026350925187499995,80,-7.248022472144937,2.498124194678619e-10,393.0,4.037583101610984e-09,2.997749033614343e-08,1.723705694328247e-08,5.76490198771989e-10,4.845099721933181e-07,2.745556509095469e-07,9.141697588553172e-09
RPR08,Ribeirão Preto,nerv03,-0.09318022151250001,80,-30.41468788313783,2.2697044245094932e-45,0.0,7.999532481409323e-15,2.7236453094113917e-43,2.678251220921202e-43,9.078817698037972e-44,9.599438977691188e-13,9.519443652877095e-13,2.399859744422797e-13
RPR09,Ribeirão Preto,nerv03,-0.023097193337499995,80,-7.56562177264801,6.08626613740799e-11,382.0,2.931202981330482e-09,7.303519364889588e-09,4.382111618933752e-09,1.4905141560999159e-10,3.517443577596578e-07,2.0225300571180326e-07,6.764314572301112e-09
RPR10,Ribeirão Preto,nerv03,-0.03400119510126583,79,-11.46709008480731,2.0818737537337786e-18,103.0,5.363429221173791e-13,2.498248504480534e-16,2.144329966345792e-16,1.3879158358225193e-17,6.436115065408549e-11,5.309794928962052e-11,2.9255068479129768e-12
RPR11,Ribeirão Preto,nerv03,-0.0334862969625,80,-12.268876221886305,5.546931603937863e-20,101.0,3.2608501031682654e-13,6.656317924725436e-18,5.824278184134756e-18,4.1601987029533974e-19,3.9130201238019184e-11,3.326067105231631e-11,2.0594842756852203e-12
RPR12,Ribeirão Preto,nerv03,-0.0521622455,60,-15.18646391806647,4.765874582950088e-22,4.0,2.045478834778828e-11,5.719049499540106e-20,5.242462041245097e-20,5.199135908672824e-21,2.454574601734594e-09,1.738657009562004e-09,6.818262782596094e-11
COY01,Coyhaique,nerv04,-0.013473408929292932,99,-6.544294390296081,2.7454511445980435e-09,887.0,3.010327226290418e-08,3.294541373517652e-07,1.6198161753128457e-07,5.313776408899439e-09,3.6123926715485014e-06,1.7760930635113465e-06,5.8264397928201635e-08
